state_fips,avg_annual_temp,avg_annual_temp_rank,avg_annual_temp_percentile
12,70.7,1,1
15,70,2,0.979
22,66.4,3,0.959
48,64.8,4,0.938
13,63.5,5,0.918
28,63.4,6,0.897
1,62.8,7,0.877
45,62.4,8,0.857
5,60.4,9,0.836
4,60.3,10,0.816
40,59.6,11,0.795
6,59.4,12,0.775
37,59,13,0.755
47,57.6,14,0.734
21,55.6,15,0.714
10,55.3,16,0.693
51,55.1,17,0.673
29,54.5,18,0.653
20,54.3,19,0.632
24,54.2,20,0.612
35,53.4,21,0.591
34,52.7,22,0.571
17,51.8,23,0.53
54,51.8,23,0.53
18,51.7,25,0.51
39,50.7,26,0.489
44,50.1,27,0.469
32,49.9,28,0.448
9,49,29,0.428
31,48.8,30,0.387
42,48.8,30,0.387
49,48.6,32,0.367
41,48.4,33,0.346
53,48.3,34,0.326
25,47.9,35,0.306
19,47.8,36,0.285
36,45.4,37,0.265
46,45.2,38,0.244
8,45.1,39,0.224
16,44.4,40,0.183
26,44.4,40,0.183
33,43.8,42,0.163
55,43.1,43,0.142
50,42.9,44,0.122
30,42.7,45,0.102
56,42,46,0.081
27,41.2,47,0.061
23,41,48,0.04
38,40.4,49,0.02
2,26.6,50,0
