state_fips,avg_fall_temp,avg_fall_temp_rank,avg_fall_temp_percentile
12,72.7,1,1
15,71.8,2,0.979
22,67.4,3,0.959
48,65.5,4,0.938
13,64.6,5,0.918
28,64.2,6,0.897
1,63.7,7,0.877
45,63.4,8,0.857
5,61.4,9,0.836
4,61.3,10,0.816
6,60.9,11,0.795
40,60.6,12,0.775
37,60.2,13,0.755
47,58.6,14,0.734
10,57.4,15,0.714
21,57,16,0.693
51,56.5,17,0.673
24,56.1,18,0.653
29,56,19,0.632
20,55.4,20,0.612
34,54.8,21,0.591
17,53.8,22,0.53
18,53.8,22,0.53
35,53.8,22,0.53
54,53.3,25,0.51
44,53.1,26,0.489
39,52.9,27,0.469
9,51.2,28,0.448
42,50.9,29,0.428
25,50.3,30,0.408
32,50.2,31,0.387
19,49.8,32,0.367
31,49.5,33,0.346
49,49.1,34,0.326
41,48.9,35,0.306
53,48.5,36,0.285
36,48.1,37,0.265
26,47.3,38,0.244
46,46.4,39,0.224
33,46.3,40,0.204
8,45.9,41,0.183
50,45.7,42,0.142
55,45.7,42,0.142
16,44.8,44,0.122
23,44.2,45,0.102
27,43.5,46,0.081
30,43,47,0.061
56,42.5,48,0.04
38,42,49,0.02
2,26.7,50,0
