state_fips,avg_spring_temp,avg_spring_temp_rank,avg_spring_temp_percentile
12,69.9,1,1
15,68.6,2,0.979
22,66.3,3,0.959
48,65.1,4,0.938
28,63.2,5,0.918
13,63.1,6,0.897
1,62.5,7,0.877
45,62,8,0.857
5,60.3,9,0.836
40,59.1,10,0.816
4,58.2,11,0.775
37,58.2,11,0.775
47,57.3,13,0.755
6,57.1,14,0.734
21,55.1,15,0.714
29,54.4,16,0.693
51,54.1,17,0.673
20,53.6,18,0.653
10,53.3,19,0.632
24,52.8,20,0.612
35,52.4,21,0.591
17,51.6,22,0.571
18,51.1,23,0.551
54,50.9,24,0.53
34,50.6,25,0.51
39,49.7,26,0.489
19,48.2,27,0.448
31,48.2,27,0.448
32,48,29,0.428
53,47.7,30,0.408
49,47.5,31,0.387
42,47.4,32,0.367
9,47.3,33,0.346
44,47,34,0.326
41,46.9,35,0.306
25,45.7,36,0.285
46,44.8,37,0.265
8,43.7,38,0.244
16,43.6,39,0.204
36,43.6,39,0.204
55,42.9,41,0.183
26,42.6,42,0.163
30,42.5,43,0.142
33,42.4,44,0.122
27,41.9,45,0.102
50,41.5,46,0.081
38,41.1,47,0.061
56,40.8,48,0.04
23,39.1,49,0.02
2,24.7,50,0
